Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1574899200000,0.00231530,0.00236000,0.00226140,0.00227200,98429449.00000000,1574985599999,227564.26697800,1370,49694451.00000000,115032.34948220,0
1574985600000,0.00227350,0.00237330,0.00227220,0.00235930,98438924.00000000,1575071999999,228861.47075330,1704,59957327.00000000,139436.53139130,0
1575072000000,0.00235930,0.00236070,0.00227110,0.00229180,59323424.00000000,1575158399999,137880.77163940,1208,31052197.00000000,72149.04246590,0
1575158400000,0.00229200,0.00230410,0.00223230,0.00226480,71868565.00000000,1575244799999,162403.87941690,1197,38388165.00000000,86757.35020350,0
1575244800000,0.00227080,0.00227080,0.00215880,0.00221940,163746405.00000000,1575331199999,359449.34270110,2008,106700242.00000000,233971.26184360,0
1575331200000,0.00222090,0.00223660,0.00215040,0.00217820,189360213.00000000,1575417599999,413673.08148100,1729,118094043.00000000,258133.02677730,0
1575417600000,0.00217310,0.00224500,0.00211230,0.00216820,259311714.00000000,1575503999999,558513.78852790,2651,162039847.00000000,348408.47427280,0
1575504000000,0.00217170,0.00221990,0.00214060,0.00217550,75250597.00000000,1575590399999,163409.86356720,1366,41482541.00000000,90164.43564610,0
1575590400000,0.00217050,0.00224160,0.00210010,0.00219440,132923213.00000000,1575676799999,285321.61600950,1932,58128604.00000000,125219.48412630,0
1575676800000,0.00218940,0.00225040,0.00216010,0.00218400,61735171.00000000,1575763199999,135374.77335820,1149,30447648.00000000,66908.25738850,0
1575763200000,0.00218340,0.00224990,0.00215000,0.00219710,56793315.00000000,1575849599999,123777.92938230,927,31565560.00000000,68782.69457340,0
1575849600000,0.00219680,0.00221820,0.00216240,0.00216990,56493155.00000000,1575935999999,123320.32950680,1079,31946236.00000000,69741.29649860,0
1575936000000,0.00216350,0.00221500,0.00209030,0.00213680,116186991.00000000,1576022399999,250651.54980600,1939,55399555.00000000,119643.32555720,0
1576022400000,0.00214020,0.00217400,0.00210790,0.00213790,86454061.00000000,1576108799999,185263.89075470,1437,43411097.00000000,93091.90168540,0
1576108800000,0.00215150,0.00216880,0.00211660,0.00213440,55721062.00000000,1576195199999,119010.20525860,1215,29351507.00000000,62727.40885700,0
1576195200000,0.00213480,0.00222450,0.00210510,0.00213210,105233189.00000000,1576281599999,225284.54461880,1649,57307473.00000000,122837.67280280,0
1576281600000,0.00212740,0.00229330,0.00204800,0.00211270,97345597.00000000,1576367999999,207398.51683960,1957,55888787.00000000,119456.12749020,0
